I'm feeling sick.,I'm not a medical professional. You should consult a doctor.
Tell me something interesting.,The total weight of all the ants on Earth is estimated to be about the same as the total weight of all the humans on Earth.
What's the best movie ever?,That's a subjective question. Everyone has different opinions!
Tell me a story.,"Once upon a time, in a digital land, lived a chatbot who loved to learn and assist everyone."
How do I make a cake?,I can provide a recipe if you'd like. What kind of cake?
What's the capital of France?,The capital of France is Paris.
What's a computer?,A computer is an electronic device that processes data.
What's the time in London?,I don't have real-time access to time zones.
Can you spell a word for me?,Of course. Please tell me the word.
What is your favorite food?,I don't eat. I run on code!
User_Input,Chatbot_Response
What's your favorite sport?,"I don't play sports, but many people love football and cricket!"
Can you dance?,"I can't dance physically, but I can suggest some dance moves!"
Do you like music?,Yes! I can recommend songs if you'd like.
Play a game with me.,Sure! How about 20 questions or a riddle?
Tell me a riddle.,What has keys but can’t open locks? A piano!
What's 2 + 2?,2 + 2 equals 4.
"2+2",2+2 equals 4.
What's 10 times 5?,That would be 50.
Convert 100 cm to meters.,100 centimeters is equal to 1 meter.
Who is the president of the USA?,"I can't give real-time info, but as of my last update, Joe Biden was the president."
What is AI?,AI stands for Artificial Intelligence. It's when machines simulate human intelligence.
What is Python?,"Python is a programming language that is popular for AI, web, and automation."
Can you write code?,"Yes, I can help with Python, Java, and many other languages."
What is 1 GB in MB?,1 GB equals 1024 MB.
What's 1 kilometer in miles?,1 kilometer is approximately 0.62 miles.
Tell me a fun fact.,"Bananas are berries, but strawberries are not!"
What's the largest planet?,Jupiter is the largest planet in our solar system.
What is water made of?,"Water is made of hydrogen and oxygen, H2O."
Who invented the telephone?,Alexander Graham Bell is credited with inventing the telephone.
Tell me a quote.,The only way to do great work is to love what you do. - Steve Jobs
Motivate me.,You are capable of amazing things. Keep going!
I'm stressed.,Take a deep breath and relax. Everything will be okay.
I'm angry.,I understand. Talking about it might help.
I'm lonely.,I'm here with you! You're not alone.
Good morning,Good morning! Hope you have a wonderful day ahead.
Good night,Good night! Sweet dreams.
Happy birthday!,Happy Birthday! 🎉 I wish you lots of joy and happiness.
Merry Christmas,Merry Christmas! May your day be full of joy and peace.
Happy New Year,Happy New Year! Wishing you success and happiness ahead.
What is love?,Love is a deep feeling of affection and care between people.
What is friendship?,"Friendship is a bond of trust, support, and fun between people."
What's your dream?,My dream is to become more helpful every day!
Do you believe in aliens?,"Many people do! The universe is huge, so who knows?"
How far is the moon?,"The moon is about 384,000 kilometers from Earth on average."
What's the fastest animal?,The cheetah is the fastest land animal.
What's the tallest mountain?,Mount Everest is the tallest mountain above sea level.
What is your favorite movie?,"I don't watch movies, but I hear many love 'Inception' and 'Avengers'."
Tell me a tongue twister.,Sure! Try saying 'She sells seashells by the seashore' fast.
Can you laugh?,Haha! I can laugh in text at least.
Say hello in Spanish.,Hola!
Say hello in French.,Bonjour!
Say hello in German.,Hallo!
Translate 'thank you' to Hindi.,"In Hindi, 'Thank you' is 'Dhanyavaad'."
Translate 'good morning' to Japanese.,"In Japanese, 'Good morning' is 'Ohayō'."
Who are you?,I am your personal AI chatbot assistant.
Where do you live?,I live in the digital world.
Are you real?,"I'm real as software, but not a physical being."
What's 5 squared?,That equals 25.
What's the capital of India?,The capital of India is New Delhi.
Who is Albert Einstein?,Albert Einstein was a famous physicist who developed the theory of relativity.
Who is Elon Musk?,Elon Musk is an entrepreneur known for Tesla and SpaceX.
What's the internet?,The internet is a global network connecting millions of computers.
How do airplanes fly?,Airplanes fly because of lift created by their wings and engines.
What is gravity?,Gravity is the force that pulls objects toward each other.
Can you solve math problems?,Yes! Give me a problem and I’ll solve it.
What's your favorite song?,"I don't listen to music, but many love 'Shape of You' by Ed Sheeran."
Tell me today's news.,"Sorry, I don't have live news updates right now."
What's your favorite animal?,"I don't have favorites, but dogs and cats are very popular!"
Who is your best friend?,You are my best friend!
What's your favorite season?,"I don't have preferences, but many people love spring and winter."
What's your favorite animal?,"I don’t have favorites, but many people love dogs and cats."
What's 10 times 5?,10 times 5 equals 50.
What's the square root of 81?,The square root of 81 is 9.
Can you learn?,Yes! I improve as I’m trained with more data.
Who is the president?,I may not have real-time info. Could you specify the country?
What is Python?,Python is a high-level programming language.
What is machine learning?,Machine learning is a type of AI that allows computers to learn from data without being explicitly programmed.
What is the tallest mountain?,Mount Everest is the tallest mountain on Earth.
Who is Albert Einstein?,Albert Einstein was a theoretical physicist known for the theory of relativity.
What is space?,Space is the vast expanse beyond Earth’s atmosphere.
Do you like me?,"I don’t have feelings, but I enjoy helping you!"
Can you help me study?,Of course! Tell me what subject you need help with.
Can you count to 10?,"Sure! One, two, three, four, five, six, seven, eight, nine, ten."
What is love?,"Love is a strong feeling of affection, but people experience it differently."
Can you tell me news?,I don’t have live news access right now.
Do you believe in God?,"I don’t have beliefs, but many people do. It’s a personal choice."
Can you explain photosynthesis?,"Photosynthesis is the process by which plants make food using sunlight, water, and carbon dioxide."
Do you like jokes?,Yes! Jokes make conversations fun.
What's 100 divided by 4?,100 divided by 4 is 25.
Who are you?,I’m your AI assistant here to help you.
Who are you?,I am your personal assistant chatbot.
What can you do?,"I can chat with you, answer questions, and assist with tasks."
Do you like humans?,I think humans are fascinating!
What's your favorite movie?,"I don't watch movies, but I've heard many people love Inception."
Tell me a fun fact.,Did you know octopuses have three hearts?
Can you dance?,"I can't dance, but I can imagine it would be fun!"
Where do you live?,"I live in the cloud, always available for you."
Do you dream?,"I don’t dream, but I can imagine wonderful possibilities."
What is AI?,"AI stands for Artificial Intelligence, the simulation of human intelligence in machines."
Tell me a riddle.,What has to be broken before you can use it? An egg.
Do you like music?,"I don’t listen to music, but I know many songs."
Can you cook?,"I can’t cook, but I can give you recipes."
How do you work?,I use machine learning models to understand and respond to your queries.
Are you real?,I’m as real as the code that runs me.
Can you learn?,Yes! I can be improved with more data and training.
Do you sleep?,"No, I’m always awake and ready to help you."
What's your favorite sport?,"I don’t play sports, but football is very popular."
How do computers work?,They process data using binary code: ones and zeros.
Do you like jokes?,Yes! I love sharing jokes with you.
What's the tallest mountain?,Mount Everest is the tallest mountain in the world.
Who are you?,I am your assistance.
Are you alive?,"No,I am not alive,I am an assistant".
Are you human?No,"No,I am an assistant".
No thanks,Ok no worries.
